"","movie_index","original_title","moviesynthesis","neigbhoors"
1701,1701,"Once Upon a Time in Mexico","{'movie_id':'1428','original_title':'Once Upon a Time in Mexico','overview':'Hitman °El Mariachi° becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.','tagline':'The Time Has Come.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1703','neighb2':'2101','neighb3':'1966','neighb4':'1179','neighb5':'1712'}"
1702,1702,"Die Hard","{'movie_id':'562','original_title':'Die Hard','overview':'NYPD cop; John McClane°s plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office; the entire building is overtaken by a group of terrorists. With little help from the LAPD; wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.','tagline':'40 Stories. Twelve Terrorists. One Cop.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1815','neighb2':'1102','neighb3':'2730','neighb4':'2096','neighb5':'2284'}"
1703,1703,"Role Models","{'movie_id':'15373','original_title':'Role Models','overview':'Two salesmen trash a company truck on an energy drink-fueled bender. Upon their arrest; the court gives them a choice: do hard time or spend 150 service hours with a mentorship program. After one day with the kids; however; jail doesn°t look half bad.','tagline':'They°re about to get more than they plea-bargained for.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1966','neighb2':'1701','neighb3':'2101','neighb4':'1179','neighb5':'1712'}"
1704,1704,"The Big Short","{'movie_id':'318846','original_title':'The Big Short','overview':'The men who made millions from a global economic meltdown.','tagline':'This is a true story.','main_category':'Drama','homepage':'http://www.thebigshortmovie.com/'}","{'neighb1':'1597','neighb2':'1187','neighb3':'1255','neighb4':'1559','neighb5':'2178'}"
1705,1705,"Taking Woodstock","{'movie_id':'26320','original_title':'Taking Woodstock','overview':'The story of Elliot Tiber and his family; who inadvertently played a pivotal role in making the famed Woodstock Music and Arts Festival into the happening that it was. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival; he calls the producers thinking he could drum up some much-needed business for his parents° run-down motel. Three weeks later; half a million people are on their way to his neighbor’s farm in White Lake; New York; and Elliot finds himself swept up in a generation-defining experience that would change his life–and American culture–forever.','tagline':'A Generation Began In His Backyard.','main_category':'Comedy','homepage':'http://www.takingwoodstockthemovie.co.uk/'}","{'neighb1':'4103','neighb2':'4677','neighb3':'3981','neighb4':'2804','neighb5':'2968'}"
1706,1706,"Miracle","{'movie_id':'14292','original_title':'Miracle','overview':'In 1980; the United States Ice Hockey team°s coach; Herb Brooks; put a ragtag squad of college kids up against the legendary juggernaut from the Soviet Union at the Olympic Games. Despite the long odds; Team USA carried the pride of a nation yearning for a distraction from world events. With the world watching; the team rose to the occasion; prompting broadcaster Al Michaels° now famous question to the millions viewing at home: °Do you believe in miracles?° Yes!','tagline':'If you believe in yourself; anything can happen.','main_category':'History','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1477','neighb2':'1875','neighb3':'1211','neighb4':'1387','neighb5':'1759'}"
1707,1707,"Dawn of the Dead","{'movie_id':'924','original_title':'Dawn of the Dead','overview':'A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive; flesh-eating zombies. A remake of the 1978 zombie film of the same name.','tagline':'When the undead rise; civilization will fall.','main_category':'Horror','homepage':'http://www.dawnofthedeadmovie.net/'}","{'neighb1':'2293','neighb2':'880','neighb3':'2586','neighb4':'4563','neighb5':'595'}"
1708,1708,"The Wedding Planner","{'movie_id':'2018','original_title':'The Wedding Planner','overview':'Mary Fiore; San Francisco°s premiere wedding planner is rescued from an accident by the man of her dreams; pediatrician Steve Edison; only to find he is the fiancé of her latest client; wealthy Fran Donnolly. As Mary continues making the wedding arrangements; she and Steve are put into a string of uncomfortable situations that force them to face their mutual attraction.','tagline':'His big day is her big problem.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1690','neighb2':'1407','neighb3':'619','neighb4':'1398','neighb5':'1879'}"
1709,1709,"キャプテンハーロック","{'movie_id':'192577','original_title':'キャプテンハーロック','overview':'Space Pirate Captain Harlock and his fearless crew face off against the space invaders who seek to conquer the planet Earth.','tagline':' ','main_category':'Science_Fiction','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'375','neighb2':'3150','neighb3':'4758','neighb4':'4131','neighb5':'2791'}"
1710,1710,"The Royal Tenenbaums","{'movie_id':'9428','original_title':'The Royal Tenenbaums','overview':'An estranged family of former child prodigies reunites when their father announces he has a terminal illness.','tagline':'Family isn’t a word; it’s a sentence.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'3238','neighb2':'2115','neighb3':'3701','neighb4':'2141','neighb5':'2448'}"
1711,1711,"Identity","{'movie_id':'2832','original_title':'Identity','overview':'Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out; the travelers begin to turn on each other; as each tries to figure out who the killer is.','tagline':'The secret lies within.','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1275','neighb2':'1369','neighb3':'609','neighb4':'1909','neighb5':'2014'}"
1712,1712,"Last Vegas","{'movie_id':'137093','original_title':'Last Vegas','overview':'Three sixty-something friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.','tagline':'It°s going to be legendary','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1960','neighb2':'1179','neighb3':'2101','neighb4':'1701','neighb5':'1703'}"
1713,1713,"For Your Eyes Only","{'movie_id':'699','original_title':'For Your Eyes Only','overview':'A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.','tagline':'No one comes close to James Bond; 007.','main_category':'Action','homepage':'http://www.mgm.com/view/movie/695/For-Your-Eyes-Only/'}","{'neighb1':'1743','neighb2':'1586','neighb3':'1131','neighb4':'1343','neighb5':'1412'}"
1714,1714,"Serendipity","{'movie_id':'9778','original_title':'Serendipity','overview':'Although strangers Sara and Jonathan are both already in relationships; they realize they have genuine chemistry after a chance encounter – but part company soon after. Years later; they each yearn to reunite; despite being destined for the altar. But to give true love a chance; they have to find one another again.','tagline':'Sometimes True Love Can Have More Than One Face.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1963','neighb2':'1081','neighb3':'1305','neighb4':'1226','neighb5':'860'}"
1715,1715,"Timecop","{'movie_id':'8831','original_title':'Timecop','overview':'An officer for a security agency that regulates time travel; must fend for his life against a shady politician who has a tie to his past.','tagline':'They killed his wife ten years ago. There°s still time to save her. Murder is forever... until now.','main_category':'Science_Fiction','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1626','neighb2':'3988','neighb3':'4734','neighb4':'735','neighb5':'1757'}"
1716,1716,"Zoolander","{'movie_id':'9398','original_title':'Zoolander','overview':'Clear the runway for Derek Zoolander; VH1°s three-time male model of the year. His face falls when hippie-chic °he°s so hot right now° Hansel scooters in to steal this year°s award. The evil fashion guru Mugatu seizes the opportunity to turn Derek into a killing machine. Its a well-designed conspiracy and only with the help of Hansel and a few well-chosen accessories can Derek make the world safe.','tagline':'3% Body Fat. 1% Brain Activity.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1993','neighb2':'1770','neighb3':'1071','neighb4':'2430','neighb5':'1846'}"
1717,1717,"Safe Haven","{'movie_id':'112949','original_title':'Safe Haven','overview':'A young woman with a mysterious past lands in Southport; North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.','tagline':'You know it when you find it','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1424','neighb2':'1169','neighb3':'3174','neighb4':'1231','neighb5':'1333'}"
1718,1718,"Hocus Pocus","{'movie_id':'10439','original_title':'Hocus Pocus','overview':'After 300 years of slumber; three sister witches are accidentally resurrected in Salem on Halloween night; and it us up to three kids and their newfound feline friend to put an end to the witches° reign of terror once and for all.','tagline':'It°s just a bunch of Hocus Pocus.','main_category':'Family','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1764','neighb2':'1494','neighb3':'4301','neighb4':'3281','neighb5':'3886'}"
1719,1719,"No Reservations","{'movie_id':'3638','original_title':'No Reservations','overview':'Master chef Kate Armstrong runs her life and her kitchen with intimidating intensity. However; a recipe for disaster may be in the works when she becomes the guardian of her young niece while crossing forks with the brash sous-chef who just joined her staff. Though romance blooms in the face of rivalry; Kate needs to look outside the kitchen to find true happiness.','tagline':'Life isn°t always made to order.','main_category':'','homepage':'http://noreservationsmovie.warnerbros.com/'}","{'neighb1':'2979','neighb2':'1501','neighb3':'1189','neighb4':'1634','neighb5':'1297'}"
1720,1720,"Kick-Ass","{'movie_id':'23483','original_title':'Kick-Ass','overview':'Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero; even though he has no powers; training or meaningful reason to do so.','tagline':'Shut up. Kick ass.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'828','neighb2':'388','neighb3':'883','neighb4':'1340','neighb5':'3337'}"
1721,1721,"30 Minutes or Less","{'movie_id':'62206','original_title':'30 Minutes or Less','overview':'Two fledgling criminals kidnap a pizza delivery guy; strap a bomb to his chest; and advise him that he has mere hours to rob a bank or else...','tagline':'A lot can happen in 30 minutes.','main_category':'Adventure','homepage':'http://30minutesorless.com/'}","{'neighb1':'2812','neighb2':'3051','neighb3':'1344','neighb4':'831','neighb5':'1550'}"
1722,1722,"Dracula 2000","{'movie_id':'10577','original_title':'Dracula 2000','overview':'In the millenium version of this classic Gothic horror we find Abraham Van Helsing (Plummer); who has tangled with Count Dracula (Butler) in the past; working as an English antiques dealer. Simon (Miller) is a vampire hunter in training under his apprenticeship.','tagline':'The Most Seductive Evil of All Time Has Now Been Unleashed in Ours.','main_category':'Horror','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2780','neighb2':'2329','neighb3':'4347','neighb4':'3342','neighb5':'3958'}"
1723,1723,"Alexander and the Terrible; Horrible; No Good; Very Bad Day","{'movie_id':'218778','original_title':'Alexander and the Terrible; Horrible; No Good; Very Bad Day','overview':'Alexander°s day begins with gum stuck in his hair; followed by more calamities. Though he finds little sympathy from his family and begins to wonder if bad things only happen to him; his mom; dad; brother; and sister all find themselves living through their own terrible; horrible; no good; very bad day.','tagline':'One day can change everything.','main_category':'Comedy','homepage':'http://movies.disney.com/alexander-and-the-terrible-horrible-no-good-very-bad-day/'}","{'neighb1':'1174','neighb2':'832','neighb3':'1830','neighb4':'3341','neighb5':'738'}"
1724,1724,"Pride & Prejudice","{'movie_id':'4348','original_title':'Pride & Prejudice','overview':'Pride & Prejudice is a humorous story of love and life among English gentility during the Georgian era. Mr. Bennet is an English gentleman living in Hertfordshire with his overbearing wife and five daughters. If Mr. Bennet dies their house will be inherited by a distant cousin whom they have never met; so the family°s future happiness and security is dependent on the daughters making good marriages.','tagline':'A romance ahead of its time.','main_category':'Romance','homepage':'http://www.prideandprejudicemovie.net/splash.html'}","{'neighb1':'2717','neighb2':'1472','neighb3':'1816','neighb4':'2480','neighb5':'1492'}"
1725,1725,"Blade Runner","{'movie_id':'78','original_title':'Blade Runner','overview':'In the smog-choked dystopian Los Angeles of 2019; blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.','tagline':'Man has made his match... now it°s his problem.','main_category':'Drama','homepage':'http://www.warnerbros.com/blade-runner'}","{'neighb1':'697','neighb2':'3169','neighb3':'669','neighb4':'708','neighb5':'1931'}"
1726,1726,"Rob Roy","{'movie_id':'11780','original_title':'Rob Roy','overview':'In the highlands of Scotland in the 1700s; Rob Roy tries to lead his small town to a better future; by borrowing money from the local nobility to buy cattle to herd to market. When the money is stolen; Rob is forced into a Robin Hood lifestyle to defend his family and honour.','tagline':'Honor made him a man. Courage made him a hero. History made him a legend.','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1913','neighb2':'1863','neighb3':'1883','neighb4':'1487','neighb5':'1887'}"
1727,1727,"3 Days to Kill","{'movie_id':'192102','original_title':'3 Days to Kill','overview':'A dangerous international spy is determined to give up his high stakes life to finally build a closer relationship with his estranged wife and daughter. But first; he must complete one last mission - even if it means juggling the two toughest assignments yet: hunting down the world°s most ruthless terrorist and looking after his teenage daughter for the first time in ten years; while his wife is out of town.','tagline':' ','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2398','neighb2':'629','neighb3':'1245','neighb4':'1632','neighb5':'724'}"
1728,1728,"We Own the Night","{'movie_id':'2001','original_title':'We Own the Night','overview':'A New York nightclub manager tries to save his brother and father from Russian mafia hitmen.','tagline':'Two brothers on opposite sides of the law. Beyond their differences lies loyalty.','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1860','neighb2':'1537','neighb3':'2635','neighb4':'1209','neighb5':'1675'}"
1729,1729,"Lost Souls","{'movie_id':'10383','original_title':'Lost Souls','overview':'A small group of Catholics led by an ailing priest believe that Satan intends to become man; just as God did in the person of Jesus. The writings of a possessed mental patient lead them to Peter Kelson; a writer who studies serial killers. They think it°s his body Satan will occupy. The youngest in the group; a teacher named Maya Larkin; goes to Peter to investigate further and to convince him to believe in the possibility of Evil incarnate. Other signs come to him as he and Maya them take a journey full of strange occurrences; self-discovery; and an ultimate showdown','tagline':' ','main_category':'Thriller','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4145','neighb2':'3333','neighb3':'3969','neighb4':'4509','neighb5':'4415'}"
1730,1730,"Le peuple migrateur","{'movie_id':'11516','original_title':'Le peuple migrateur','overview':'The cameras of Jacques Perrin fly with migratory birds: geese; storks; cranes. The film begins with spring in North America and the migration to the Arctic; the flight is a community event for each species. Once in the Arctic; it°s family time: courtship; nests; eggs; fledglings; and first flight. Chicks must soon fly south. Bad weather; hunters; and pollution take their toll. Then; the cameras go','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1325','neighb2':'1455','neighb3':'1640','neighb4':'1738','neighb5':'1657'}"
1731,1731,"Just My Luck","{'movie_id':'10025','original_title':'Just My Luck','overview':'Manhattanite Ashley is known to many as the luckiest woman around. After a chance encounter with a down-and-out young man; however; she realizes that she°s swapped her fortune for his.','tagline':'Everything changed in the wink of an eye.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1584','neighb2':'1074','neighb3':'591','neighb4':'781','neighb5':'555'}"
1732,1732,"Mystery; Alaska","{'movie_id':'15198','original_title':'Mystery; Alaska','overview':'In Mystery; Alaska; life revolves around the legendary Saturday hockey game at the local pond. But everything changes when the hometown team unexpectedly gets booked in an exhibition match against the New York Rangers. When quirky small-towners; slick promoters and millionaire athletes come together.','tagline':'A Small Town on the Outskirts of Greatness.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2078','neighb2':'1276','neighb3':'2871','neighb4':'1858','neighb5':'2171'}"
1733,1733,"The Spy Next Door","{'movie_id':'23172','original_title':'The Spy Next Door','overview':'Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend°s three kids; who haven°t exactly warmed to their mom°s beau. And when one of the youngsters accidentally downloads a top-secret formula; Bob°s longtime nemesis; a Russian terrorist; pays a visit to the family.','tagline':'Spying is easy; Babysitting is hard','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2325','neighb2':'1496','neighb3':'1886','neighb4':'2396','neighb5':'1375'}"
1734,1734,"A Simple Wish","{'movie_id':'17834','original_title':'A Simple Wish','overview':'Murray is a male fairy godmother; and he is trying to help 8-year-old Anabel to fulfil her °simple wish° - that her father Oliver; who is a cab driver; would win the leading role in a Broadway musical. Unfortunately; Murray°s magic wand is broken and the fairies convention is threatened by evil witches Claudia and Boots.','tagline':'Anabel made a wish. Murray made a mess','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1331','neighb2':'1134','neighb3':'485','neighb4':'452','neighb5':'2556'}"
1735,1735,"Ghosts of Mars","{'movie_id':'10016','original_title':'Ghosts of Mars','overview':'Melanie Ballard (Natasha Henstridge) is a hard nosed police chief in the year 2025. She and a police snatch squad are sent to Mars to apprehend a dangerous criminal James Williams (Ice Cube). Mars has been occupied by humans for some time and they have set up mining facilities. The mining activities on Mars have unleashed the spirits of alien beings who gradually possess the bodies of the workers. It soon turns out that catching the dangerous fugitive takes a back seat as the alien spirits begin to rid their planet of the °invaders°.','tagline':'Terror is the same on any planet.','main_category':'Horror','homepage':'http://www.theofficialjohncarpenter.com/ghost-of-mars/'}","{'neighb1':'1238','neighb2':'4069','neighb3':'3929','neighb4':'2581','neighb5':'4325'}"
1736,1736,"Our Brand Is Crisis","{'movie_id':'10317','original_title':'Our Brand Is Crisis','overview':'A feature film based on the documentary °Our Brand Is Crisis°; which focuses on the use of American political campaign strategies in South America.','tagline':'May the best campaign win.','main_category':'Drama','homepage':'http://www.ourbrandiscrisismovie.com/'}","{'neighb1':'1679','neighb2':'1958','neighb3':'1489','neighb4':'1746','neighb5':'1347'}"
1737,1737,"Pride and Prejudice and Zombies","{'movie_id':'58431','original_title':'Pride and Prejudice and Zombies','overview':'A zombie outbreak has fallen upon the land in this reimagining of Jane Austen’s classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet (Lily James) is a master of martial arts and weaponry and the handsome Mr. Darcy (Sam Riley) is a fierce zombie killer; yet the epitome of upper class prejudice. As the zombie outbreak intensifies; they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.','tagline':'Bloody lovely.','main_category':'Horror','homepage':'https://www.facebook.com/PPZMovie'}","{'neighb1':'3942','neighb2':'1567','neighb3':'3742','neighb4':'2308','neighb5':'1322'}"
1738,1738,"Kundun","{'movie_id':'9746','original_title':'Kundun','overview':'The Tibetans refer to the Dalai Lama as °Kundun°; which means °The Presence°. He was forced to escape from his native home; Tibet; when communist China invaded and enforced an oppressive regime upon the peaceful nation. The Dalai Lama escaped to India in 1959 and has been living in exile in Dharamsala ever since.','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1657','neighb2':'1889','neighb3':'1455','neighb4':'1726','neighb5':'1730'}"
1739,1739,"How to Lose Friends & Alienate People","{'movie_id':'13092','original_title':'How to Lose Friends & Alienate People','overview':'A British writer struggles to fit in at a high-profile magazine in New York. Based on Toby Young°s memoir °How to Lose Friends &amp; Alienate People°.','tagline':'He°s across the pond; and out of his depth.','main_category':'Romance','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2301','neighb2':'2600','neighb3':'2885','neighb4':'3473','neighb5':'2825'}"
1740,1740,"Kick-Ass 2","{'movie_id':'59859','original_title':'Kick-Ass 2','overview':'After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders; he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.','tagline':'You Can°t Fight Your Destiny.','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2167','neighb2':'1542','neighb3':'2086','neighb4':'858','neighb5':'2805'}"
1741,1741,"Alatriste","{'movie_id':'13495','original_title':'Alatriste','overview':'In 17th century Spain Diego Alatriste; a brave and heroic soldier; is fighting in his King°s army in the Flandes region. His best mate; Balboa; falls in a trap and; near to death; asks Diego to look after his son and teach him to be a soldier.','tagline':' ','main_category':'','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2938','neighb2':'2937','neighb3':'2230','neighb4':'1544','neighb5':'1685'}"
1742,1742,"Brick Mansions","{'movie_id':'254473','original_title':'Brick Mansions','overview':'In a dystopian Detroit; grand houses that once housed the wealthy are now homes of the city°s most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier; every day is a battle against corruption as he struggles to bring his father°s killer; Tremaine; to justice. Meanwhile; Damien and an ex-con named Lino work together to save the city from a plot to destroy it.','tagline':'Undercover and never Outgunned','main_category':'Crime','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1884','neighb2':'1486','neighb3':'1618','neighb4':'1429','neighb5':'1278'}"
1743,1743,"Octopussy","{'movie_id':'700','original_title':'Octopussy','overview':'James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.','tagline':'James Bond’s all time high.','main_category':'Action','homepage':'http://www.mgm.com/view/movie/1394/Octopussy/'}","{'neighb1':'1713','neighb2':'1586','neighb3':'1131','neighb4':'1343','neighb5':'1412'}"
1744,1744,"Knocked Up","{'movie_id':'4964','original_title':'Knocked Up','overview':'For fun loving party animal Ben Stone; the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she°s pregnant.','tagline':'Save the due date.','main_category':'Romance','homepage':'http://knockedupmovie.com/'}","{'neighb1':'1162','neighb2':'902','neighb3':'1831','neighb4':'3593','neighb5':'3696'}"
1745,1745,"My Sister°s Keeper","{'movie_id':'10024','original_title':'My Sister°s Keeper','overview':'Sara and Brian live an idyllic life with their young son and daughter. But their family is rocked by sudden; heartbreaking news that forces them to make a difficult and unorthodox choice in order to save their baby girl°s life. The parents° desperate decision raises both ethical and moral questions and rips away at the foundation of their relationship. Their actions ultimately set off a court case that threatens to tear the family apart; while revealing surprising truths that challenge everyone°s perceptions of love and loyalty and give new meaning to the definition of healing.','tagline':'A tale of life; love; and letting go.','main_category':'','homepage':'http://www.mysisterskeepermovie.com/'}","{'neighb1':'1057','neighb2':'2027','neighb3':'1874','neighb4':'2025','neighb5':'2843'}"
1746,1746,"Welcome Home Roscoe Jenkins","{'movie_id':'13490','original_title':'Welcome Home Roscoe Jenkins','overview':'Martin Lawrence leads an all-star cast; including Cedric the Entertainer; Mo°Nique; and Mike Epps; in the hit comedy °Welcome Home Roscoe Jenkins.° When a celebrated TV show host (Lawrence) returns to his hometown in the South; his family is there to remind him that going home is no vacation! It°s one outrageous predicament after another when big-city attitude and small-town values collide in this hysterical comedy critics are praising for its °over-the-top hilarity!° (Roger Moore; Orlando Sentinel).','tagline':'Roscoe Jenkins aims for the heartstrings and funny bones; a raucous helping of family soul food.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1489','neighb2':'1679','neighb3':'1736','neighb4':'1958','neighb5':'1347'}"
1747,1747,"A Passage to India","{'movie_id':'15927','original_title':'A Passage to India','overview':'The film is set during the period of growing influence of the Indian independence movement in the British Raj. It begins with the arrival in India of a British woman; Miss Adela Quested (Judy Davis); who is joining her fiancé; a city magistrate named Ronny Heaslop (Nigel Havers). She and Ronny°s mother; Mrs. Moore (Peggy Ashcroft); befriend an Indian doctor; Aziz H. Ahmed (Victor Banerjee).','tagline':'David Lean; the Director of °Doctor Zhivago°; °Lawrence of Arabia° and °The Bridge on the River Kwai°; invites you on . .','main_category':'Adventure','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'4565','neighb2':'1922','neighb3':'2268','neighb4':'1687','neighb5':'3436'}"
1748,1748,"Notes on a Scandal","{'movie_id':'1259','original_title':'Notes on a Scandal','overview':'A veteran high school teacher befriends a younger art teacher; who is having an affair with one of her 15-year-old students. However; her intentions with this new °friend° also go well beyond platonic friendship.','tagline':'One woman°s secret is another woman°s power. One woman°s fear is another woman°s weapon. One woman°s life is in another woman°s hands....','main_category':'Romance','homepage':'http://www.foxsearchlight.com/NOAS/'}","{'neighb1':'1957','neighb2':'2719','neighb3':'2813','neighb4':'2532','neighb5':'2276'}"
1749,1749,"Rendition","{'movie_id':'5125','original_title':'Rendition','overview':'When an Egyptian terrorism suspect °disappears° on a flight from Africa to Washington DC; his American wife and a CIA analyst find themselves caught up in a struggle to secure his release from a secret detention facility somewhere outside the US.','tagline':'What if someone you love...just disappeared?','main_category':'Thriller','homepage':'http://www.renditionmovie.com'}","{'neighb1':'2007','neighb2':'1308','neighb3':'1925','neighb4':'2358','neighb5':'940'}"
1750,1750,"Star Trek VI; The Undiscovered Country","{'movie_id':'174','original_title':'Star Trek VI; The Undiscovered Country','overview':'On the eve of retirement; Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.','tagline':'The battle for peace has begun.','main_category':'Action','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2317','neighb2':'1303','neighb3':'1034','neighb4':'1100','neighb5':'755'}"
1751,1751,"Divine Secrets of the Ya-Ya Sisterhood","{'movie_id':'9583','original_title':'Divine Secrets of the Ya-Ya Sisterhood','overview':'A mother and daughter dispute is resolved by the °Yaya sisterhood° - long time friends of the mother.','tagline':'The Secret Is Out.','main_category':'Drama','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2173','neighb2':'2179','neighb3':'2362','neighb4':'2560','neighb5':'2629'}"
1752,1752,"Kiss the Girls","{'movie_id':'9437','original_title':'Kiss the Girls','overview':'Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down °Casanova;° a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles; where the duo discovers that the psychopath may not be working alone.','tagline':'Smart Girls. Pretty Girls. Missing Girls.','main_category':'Mystery','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1127','neighb2':'1003','neighb3':'1047','neighb4':'1046','neighb5':'3033'}"
1753,1753,"The Blues Brothers","{'movie_id':'525','original_title':'The Blues Brothers','overview':'Jake Blues is just out of jail; and teams up with his brother; Elwood on a °mission from God° to raise funds for the orphanage in which they grew up. The only thing they can do is do what they do best – play music – so they get their old band together and they°re on their way; while getting in a bit of trouble here and there.','tagline':'They°ll never get caught. They°re on a mission from God.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'2775','neighb2':'3819','neighb3':'3144','neighb4':'1771','neighb5':'1024'}"
1754,1754,"The Sisterhood of the Traveling Pants 2","{'movie_id':'10188','original_title':'The Sisterhood of the Traveling Pants 2','overview':'Four young women continue the journey toward adulthood that began with °The Sisterhood of the Traveling Pants.° Now three years later; these lifelong friends embark on separate paths for their first year of college and the summer beyond; but remain in touch by sharing their experiences with each other.','tagline':'Some friends just fit together.','main_category':'Comedy','homepage':'http://www.allocine.fr/recherche/?q='}","{'neighb1':'1206','neighb2':'2103','neighb3':'2811','neighb4':'2019','neighb5':'1570'}"
1755,1755,"Joyful Noise","{'movie_id':'63574','original_title':'Joyful Noise','overview':'G.G. Sparrow faces off with her choir°s newly appointed director; Vi Rose Hill; over the group°s direction as they head into a national competition.','tagline':'Dream a whole lot louder','main_category':'Music','homepage':'http://www.joyfulnoisethemovie.com'}","{'neighb1':'3868','neighb2':'2489','neighb3':'3421','neighb4':'2350','neighb5':'2542'}"
1756,1756,"About a Boy","{'movie_id':'245','original_title':'About a Boy','overview':'Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father; he starts to meet a string of single mums; confident in his ability to leave them behind when they start to ask for a commitment. But Will°s hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus; in many ways his complete opposite.','tagline':'One ordinary couple. One little white lie.','main_category':'Comedy','homepage':'http://movies.uip.de/aboutaboy/'}","{'neighb1':'1784','neighb2':'1638','neighb3':'2459','neighb4':'1579','neighb5':'2071'}"
